entry_time,exit_time,side,entry_price,exit_price,position_size_pct,pnl_pct,pnl_usd,exit_reason,hold_time
2025-07-24 04:05:00,2025-07-24 04:10:00,SHORT,118399.0,118576.2,0.6177314519882202,-0.5986537048454703,-130.6176409713817,ML_EXIT,1
2025-07-24 04:10:00,2025-07-24 04:15:00,SHORT,118576.2,118465.2,0.5011124014854431,0.3744427633875938,66.02950025139408,ML_EXIT,1
2025-07-24 04:15:00,2025-07-24 04:20:00,SHORT,118465.2,118290.9,0.48928672075271606,0.5885272637027681,101.52232871265836,ML_EXIT,1
2025-07-24 04:20:00,2025-07-24 04:25:00,SHORT,118290.9,118294.8,0.6099832653999329,-0.013187827635122332,-2.8442746411040702,ML_EXIT,1
2025-07-24 04:25:00,2025-07-24 04:30:00,SHORT,118294.8,118244.2,0.6159708499908447,0.17109796880338213,37.26064967138673,ML_EXIT,1
2025-07-24 04:30:00,2025-07-24 05:00:00,SHORT,118244.2,117964.9,0.5837170481681824,0.9448243550212287,195.18944715130425,ML_EXIT,6
2025-07-24 06:45:00,2025-07-24 07:20:00,LONG,117454.4,118021.4,0.4203260540962219,1.9309621436063698,288.8361478382103,ML_EXIT,7
2025-07-24 12:05:00,2025-07-24 12:10:00,LONG,118592.5,118589.0,0.4473803639411926,-0.011805131015873686,-1.8947410158107538,ML_EXIT,1
2025-07-24 12:10:00,2025-07-24 12:20:00,LONG,118589.0,118470.6,0.5511905550956726,-0.399362504110817,-78.96747348311699,ML_EXIT,2
2025-07-24 12:20:00,2025-07-24 12:25:00,LONG,118470.6,118575.7,0.6649215817451477,0.35485597270543495,84.45875869769176,ML_EXIT,1
2025-07-24 12:25:00,2025-07-24 12:35:00,LONG,118575.7,118358.2,0.47706079483032227,-0.7337085085730045,-125.58649656811875,ML_EXIT,2
2025-07-24 12:35:00,2025-07-24 12:40:00,LONG,118358.2,118350.1,0.7847620248794556,-0.027374529183415323,-7.6808184567510365,ML_EXIT,1
2025-07-24 12:40:00,2025-07-24 13:00:00,LONG,118350.1,118607.6,0.7161790728569031,0.8702992223918695,222.80235524568107,ML_EXIT,4
2025-07-24 13:00:00,2025-07-24 13:05:00,LONG,118607.6,118612.9,0.5070928335189819,0.01787406540555026,3.26015977434085,ML_EXIT,1
2025-07-24 13:05:00,2025-07-24 13:10:00,LONG,118612.9,118608.9,0.47216910123825073,-0.013489257913768234,-2.291147517606972,ML_EXIT,1
2025-07-24 13:10:00,2025-07-24 13:15:00,LONG,118608.9,118680.4,0.47216910123825073,0.241128616823864,40.95303447907111,ML_EXIT,1
2025-07-24 13:15:00,2025-07-24 13:20:00,LONG,118680.4,118676.4,0.4260331094264984,-0.013481585838942236,-2.0683226120563316,ML_EXIT,1
2025-07-24 13:30:00,2025-07-24 14:05:00,SHORT,118625.9,117940.1,0.8954319357872009,2.312479821017125,745.6234070372461,ML_EXIT,7
2025-07-24 14:05:00,2025-07-24 14:35:00,LONG,117940.1,118691.0,0.8319525718688965,2.5467165111781123,778.7339929943533,ML_EXIT,6
2025-07-24 14:35:00,2025-07-24 14:40:00,LONG,118691.0,118612.1,0.4303704500198364,-0.2659005316325389,-42.95137672829283,ML_EXIT,1
2025-07-24 14:55:00,2025-07-24 16:35:00,SHORT,119061.1,118498.1,0.95,1.8914658104116289,673.659234028089,ML_EXIT,20
2025-07-24 17:20:00,2025-07-24 17:25:00,SHORT,119101.3,119014.7,0.7227678894996643,0.29084485223924783,80.22558977798354,ML_EXIT,1
2025-07-24 17:25:00,2025-07-25 00:10:00,SHORT,119014.7,118154.6,0.7608641982078552,2.890735346137885,841.162989433759,ML_EXIT,81
2025-07-25 03:35:00,2025-07-25 04:45:00,LONG,115417.1,116073.7,0.5933562517166138,2.2755726837703985,527.7393728066967,ML_EXIT,14
2025-07-25 07:00:00,2025-07-25 07:15:00,LONG,115120.5,115792.8,0.4465218186378479,2.3359870744133424,413.19123560125865,ML_EXIT,3
2025-07-25 07:30:00,2025-07-25 08:15:00,LONG,115299.0,115678.6,0.7380558252334595,1.3169238241442018,389.0401077992128,ML_EXIT,9
2025-07-25 08:15:00,2025-07-25 08:20:00,LONG,115678.6,115828.7,0.5382744073867798,0.5190242620501675,112.91111653813067,ML_EXIT,1
2025-07-25 08:20:00,2025-07-25 09:30:00,LONG,115828.7,115849.2,0.4909508228302002,0.0707941986744218,14.086159532309939,ML_EXIT,14
2025-07-25 09:40:00,2025-07-25 10:50:00,LONG,115596.5,116420.1,0.6517244577407837,2.8499132759210037,753.014819271921,ML_EXIT,14
2025-07-25 13:40:00,2025-07-25 18:35:00,LONG,115680.2,116383.9,0.39296525716781616,2.433259970159101,394.8598116906609,ML_EXIT,59
2025-07-25 18:35:00,2025-07-25 18:40:00,LONG,116383.9,116485.0,0.6895990371704102,0.3474707412279734,99.8959985106766,ML_EXIT,1
2025-07-25 18:40:00,2025-07-25 18:45:00,LONG,116485.0,116507.0,0.5636219382286072,0.07554620766622312,17.793982306263473,ML_EXIT,1
2025-07-25 18:45:00,2025-07-25 18:50:00,LONG,116507.0,116501.7,0.4427953362464905,-0.01819633155090393,-3.3685605454540535,ML_EXIT,1
